no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
3839,진한 맥주의 맛,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
3840,칼로리가 다른 맥주보다 낮다고 광고되어 있고 끝맛이 깔끔한게 목넘김이 쉬워서 자주 마시고 있음,칼로리가 적다/다이어트에 좋다,뒷맛이 깔끔하다,목 넘김이 부드럽다 ,46,153,171
3841,맛이 담백,맛이 담백하다,,,127,,
3842,처음 맥주를 먹은것이 버드와이저여서 친숙하고 처음 맥주를 찾기 시작하면 버드와이저를 찾게 된다. 그리고 예전 미국의 광고대상에서 봤던 광고의 참신함 등에 매료 되어 버드와이저를 좋아하게 되었다.,처음 마셔본 맥주이다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,광고가 신선한 느낌을 준다/광고가 독특하다,631,3,167
3843,부드러운 목넘김이 좋다. 맛도 부드러워 좋다.,목 넘김이 부드럽다 ,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,171,112,
3844,그냥 자주 마시게 되어서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3845,순한맛~,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
3846,탄산이 강렬해서,탄산이 풍부하다,,,61,,
3847,구입이 편하고 언제든 마실수 있다는 장점  국내 일반 맥주중 가장 맛이 좋다,구입이 용이하다,어느 자리든 잘 어울린다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,21,465,107
3848,흔하게 접할수있고 이미지도 젊고 좋다,대중적/보편적이다,이미지가 젊다/젊은 층이 많이 마신다,,22,504,
3849,맛이 좋다. 보리맛이 강하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,보리 맛이 진하다,,107,62,
3850,저칼로리에 맛도 좋다,칼로리가 적다/다이어트에 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,46,107,
3851,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3852,맛이 부드럽다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
3853,쌉쌀한 거친 맛이 좋아서,맛이 쌉싸름하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,113,115,
3854,약간 톡쏘는 느낌 때문에 시원하게 느껴진다,톡 쏘는 맛이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,104,103,
3855,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3856,맛이 진해서 좋다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
3857,맛이갈끔한거 같구요 디자인이 죠아서,맛이 깔끔하다,디자인이 좋다,,102,254,
3858,"풍부한 맛과 깊은 향, 한잔 잔에 따랏을 때 처음과 같은 지속성이 길다.",맛이 풍부하다/맛이 깊다,향이 강하다/향이 풍부하다/향이 진하다/향이 깊다,맛이 변함없다,70,205,429
3859,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3860,맛이 깔끔하고 거품양이 알맞음.,맛이 깔끔하다,거품 량이 적당하다,,102,93,
3861,맛이 독특하고 좋음,맛이 독특하다/맛이 차별화됐다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,117,107,
3862,처음 접한거라.,처음 마셔본 맥주이다,,,631,,
3863,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3864,"소개팅할때 마셨는데, 이성에게 어필하는 느낌이듭니다.",연인과 함께 즐기기 좋다,,,976,,
3865,삼촌이 그쪽에 다녀서,아는 사람이 근무한다,,,641,,
3866,산뜻해서,상큼하다/산뜻하다,,,29,,
3867,약간 쓴맛의 느낌이 좋다.,맛이 쌉싸름하다,,,113,,
3868,눈에 확 띄어서,눈에 잘 들어온다 ,,,8,,
3869,"알코올 특유의 쓴맛이 덜하고, 뒷맛이 깔끔하면서 곡물 특유의 고소함을 잘 살린 것 같아서",쓴 맛이 덜 하다,뒷맛이 깔끔하다,곡물 맛이 적당하다,119,153,939
3870,상표를 좋아한다기보다는 kgb맥주를 좋아하기때문에 상표도 같이 좋아함,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
3871,맛이 톡쏘는 것때문에,톡 쏘는 맛이 있다,,,104,,
3872,다른 맥주에비해 맛이 깔끔하고 마셨을 때 시원한 느낌이 더 하는 편이다.,맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,102,103,
3873,시원한 느낌이어서,시원하다,,,2,,
3874,깔끔,깔끔하다,,,1,,
3875,입에 맞는 느낌,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3876,개인적으로 맥주의 쓴맛은 별로 안좋아하는데 여러가지 달콤한 맛이 있어서 좋다. 술같지 않고 음료수 마시는 것같고  남녀노소 누구나 좋아하는 맛인것같다.,달콤하다/꿀맛이 난다,음료수란 느낌이 난다/음료 대용으로 좋다,가볍게/무난하게/부담 없이 마실 수 있다,108,35,601
3877,부드럽고 목넘김이좋다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,,112,173,
3878,이름.,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
3879,상큼하다,상큼하다/산뜻하다,,,29,,
3880,상큼,상큼하다/산뜻하다,,,29,,
3881,입에 맞아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3882,다양한 맛이 있고 병맥주 형태로 나오기 때문에 맥주 마트나 맥주집에서 가볍게 마실 수 있다.,맛이 다양하다,병맥주가 맛있다,가볍게/무난하게/부담 없이 마실 수 있다,114,557,601
3883,이미지가 좋아요 깔끔하고 상큼해보이는 이미지요,깔끔하다,상큼하다/산뜻하다,,1,29,
3884,광고모델로 인하여 (김연아),광고 모델이 좋다 ,,,303,,
3885,익숙해서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3886,"  카스는 톡 쏘는 맛이 강하기때문에, 다른 맥주에 비해  시원함을 느끼는 정도가 더 센거같다.",톡 쏘는 맛이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,104,103,
3887,최근들어 좋아하게 됐다,선호하는 제품이다,,,4,,
3888,가장 많이 마시는 브랜드이다,대중적/보편적이다,,,22,,
3889,감귤가루 효모주의 맛,효모가 들어 있다/발효 맥주다,,,82,,
3890,칼로리가적어서,칼로리가 적다/다이어트에 좋다,,,46,,
3891,맥주 맛 자체를 좋아하는 편이 아니라 술자리 때문에 먹는 것인데 KGB 같은 경우 맥주 특유의 보리맛이 잘 안나고 맛있는 과일 맛이 나서 좋아한다.,보리 맛이 덜하다,과일 맛이 난다,,492,149,
3892,목넘김이 부드러워서,목 넘김이 부드럽다 ,,,171,,
3893,흑맥주를 좋아해서,흑맥주를 좋아한다,,,69,,
3894,가격도 적당하고 부드러워서 좋다,가격이 합리적이다,부드럽다,,451,14,
3895,목넘김이 부드럽고 향이 진하지가 않아 마시는데 부담스럽지 않다,목 넘김이 부드럽다 ,향이 부드럽다/향이 순하다/향이 은은하다,가볍게/무난하게/부담 없이 마실 수 있다,171,211,601
3896,맥주도 종류에 따라 맛이 천차만별인데 그 중에 맥스가 가장 맛있다고 생각해서 자주 찾는 브랜드이다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3897,가장 맛이 깔끔하고 좋아하는 브렌드라 좋아함,맛이 깔끔하다,브랜드가 좋다/브랜드 이미지가 좋다,,102,19,
3898,"호가든 특유의 과일 향과 맛이 좋아서, 호가든 만의 독특한 맥주 음용방법(술잔에 어느정도 따른 뒤 술이 잘 섞이도록 흔들어서 먹는 것)이 나를 돋보이게 해주고 남들과 다른 느낌을 주어서",과일 향이 난다,과일 맛이 난다,먹는 방법이 독특하다,77,149,903
3899,깔끔하며 카프리의 맛이 생각나서 좋아한다,맛이 깔끔하다,맥주 기본/특유의 맛이 잘 살아있다,,102,54,
3900,"칼로리가 낮다고 해서 자주 먹는데, 먹다 보니 익숙해져서 그런지 깔끔한 맛이 가장 입에 잘 맞는다. 가벼우면서도 톡 쏘는 느낌은 그대로 유지된...",칼로리가 적다/다이어트에 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 깔끔하다,46,3,102
3901,심플하고 강렬,심플하다,강하다,,41,26,
3902,저렴하고 맥주맛이 좋아서,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
3903,맥주에 탄산이 많은데 레몬은 다른 맥주에 비해 탄산이 적은것 같고  더 마시기 쉬운거 같습니다.,탄산이 적다/탄산이 강하지 않다,마시기 편하다,,75,613,
3904,가장 보편적,대중적/보편적이다,,,22,,
3905,맛이좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3906,처음부터 쭉 마셔본 것이라..,처음 마셔본 맥주이다,,,631,,
3907,맥주맛이 끝내줍니다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3908,톡쏘는 시원함,톡 쏘는 맛이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,104,103,
3909,젤 기본이고 무난하다,맥주 기본/특유의 맛이 잘 살아있다,무난하다,,54,23,
3910,거품이 좋음,거품 맛이 좋다/크림이 맛있다,,,55,,
3911,부드럽고 맛있다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
3912,소맥으로 먹을 때 가장 맛있다,다른 주류와 섞어 마실 경우 맛이 좋다,,,488,,
3913,맛이 좋기 때문에 국산맥주는 너무 묽다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3914,상큼한 향,향이 산뜻하다,,,235,,
3915,풍미작렬,풍미가 좋다,,,533,,
3916,맥주맛이 깔끔하고 뒷맛이 깨끗하다,맛이 깔끔하다,뒷맛이 깔끔하다,,102,153,
3917,꾸준히 먹는 브랜드라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3918,맛이 가볍고 칼로리가 낮다,맛이 가볍다,칼로리가 적다/다이어트에 좋다,,51,46,
3919,부드러운 맥주의 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
3920,젊음을 상징하는듯 하다,이미지가 젊다/젊은 층이 많이 마신다,,,504,,
3921,무엇보다 맛이 좋다 그리고 병이나 캔 안에 위젯을 넣고  패키지에 따르는 방법을 그림으로 표기하여서 처음 접하는 사람도  맛있는 맥주 그대로의 맛을 즐길 수 있도록 하는것이 상당히 마음에 든다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,먹는 방식이 재미있다/잔에 따라 마시는 재미가 있다,,107,475,
3922,"맛.. 풍부하고 구수한 맛, 향이 좋고, 첫 입맛이 상쾌하고 향긋함",맛이 풍부하다/맛이 깊다,맛이 고소하다,향이 좋다,70,116,204
3923,친숙함,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3924,맛이 가장 시원하고 광고가 젋은이들을 위해 만들어져 뭔가 활기찬 분위기이다.,맛이 시원하다/맛이 상쾌하다/청량감이 있다,광고가 젊은 느낌을 준다,광고가 활기차다,103,166,958
3925,눈에 띄어서,눈에 잘 들어온다 ,,,8,,
3926,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3927,"맛이 좋고, 깔끔하다.",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 깔끔하다,,107,102,
3928,친근함과 가벼움,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,가벼운 느낌이다,,3,629,
3929,부담없다  가벼운느낌,가볍게/무난하게/부담 없이 마실 수 있다,,,601,,
3930,가볍고 맛있다,맛이 가볍다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,51,107,
3931,나의 입맛에는 카스가 가장 적당하다고 생각한다  끝맛이 깔끔해서 좋아한다.  또한 주변사람들도 카스를 좋아하기 때문에 주변지인들의 입맛에 따라가는 편이다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,뒷맛이 깔끔하다,주변에서 추천하는 맥주다,107,153,179
3932,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3933,맥주의 맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3934,맛이 부드럽고 잘 넘어감.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,,112,173,
3935,없음,없음,,,998,,
3936,도수도 별로 안높고 편하게 마시기에 좋은거같다. 맛도 술맛이 많이 안나서 음료수처럼 먹기 편하다. 여자들끼리 모여 먹기에 적당한거같다.,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,마시기 편하다,음료수란 느낌이 난다/음료 대용으로 좋다,84,613,35
3937,맛있는 맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3938,친숙해서요,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3939,목넘김이 부드럽고 연해서 좋아요~,목 넘김이 부드럽다 ,,,171,,
3940,맥주맛이 깔끔하고 브랜드가 믿음이 있다.,맛이 깔끔하다,신뢰가 간다,,102,25,
3941,내 입맛에 제일 맞는 맥주라 제일 많이 보게 되니 이 상표를 제일 좋아하는거 같네요.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,대중적/보편적이다,,107,22,
3942,맛이 익숙하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3943,레몬 맛을 좋아하기때문,레몬 맛이 난다,,,111,,
3944,목넘김이 일단 부드럽고 보리맛이 나서 맛있다  그리고 화이트는 마셨을때 따가운느낌이 들어서 그나마 부드러운 맥스가 좋은것같음,목 넘김이 부드럽다 ,보리 맛이 진하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,171,62,112
3945,아사히하면 부드러운 맥주맛이 먼저 생각난다  상표에 바로 그 맥주 맛이 연상되는 이유로....,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맥주의 맛이 상표에서 설명이 되는 것 같다,,112,902,
3946,버드와이저 맥주를 좋아해서 상표도 그냥 좋다.,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
3947,목넘김이 부드럽고 거품이 풍부해서,목 넘김이 부드럽다 ,거품이 많다/거품이 풍부하다/거품 맛이 진하다,,171,67,
3948,스타우트 맥주는 흑맥주 로서  입에 넣어 넘겼을 때 거품이 있어서 인지 톡 쏘지 않고 부드럽게 목넘김이 좋다. 그리고 캔에서 따서 와인잔에 덜어 마셨을 때 기포가 많고   거품이 적당해서 좋다.  부담없이 마시기 좋은 가격과 맛도 좋아서 자주 애용하고 있다.,흑맥주를 좋아한다,거품이 많다/거품이 풍부하다/거품 맛이 진하다,목 넘김이 부드럽다 ,69,67,171
3949,부드러운 느낌이다,부드럽다,,,14,,
3950,탄산맛이 적고 넘김이 부드러워서 좋아한다.,탄산이 적다/탄산이 강하지 않다,목 넘김이 부드럽다 ,,75,171,
3951,깔끔함,깔끔하다,,,1,,
3952,맥주의 맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3953,내 입맛에 적합하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3954,제가 즐겨먹는 맥주이기에,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
3955,전체적으로 상표가 깔금하고 시원해보여서,상표가 깔끔하다,브랜드 명이 시원할 것 같다/상표가 시원하다,,677,373,
3956,디자인이 이뻐서,디자인이 예쁘다,,,253,,
3957,부드러으며 타 맥주에 비해서 도수가 상대적으로 낮다고 느낌,부드럽다,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,,14,84,
3958,시원한 맛,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,,103,,
3959,부드러우면서도 진한 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,112,115,
3960,"청량감이 다른 맥주보다 좋고, 갈증이 나거나 더운 날에 마시면 시원함이 있어 자주 즐겨 마신다. 또, 뒷맛이 깔끔해서 선호하는 편이다.",맛이 시원하다/맛이 상쾌하다/청량감이 있다,갈증해소에 좋다,여름에 잘 어울린다,103,604,730
3961,처음 먹었던 술이 카스였는데 그때는 아무맛도 못느끼고 먹었는데  차츰 먹어본결과 목넘김이 다른 맥주에 비해 많이 부드럽게 느껴졌습니다  그래서 카스를 자주 먹는편입니다.,처음 마셔본 맥주이다,목 넘김이 부드럽다 ,,631,171,
3962,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3963,맛이 깔끔하고 내입맛에 맛아서 밖에서 주로 맥주를 마실땐 호가든을 주로 먹는다.,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,102,107,
3964,상표를 보면 간단명료하고 또한 맛이 일품임.,상표가 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,677,107,
3965,맛과 향이 마음에 든다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,향이 좋다,,107,204,
3966,깔끔한 드라이 맥주,맛이 깔끔하다,드라이하다,,102,170,
3967,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3968,목넘김이 좋음,목 넘김이 좋다 ,,,173,,
3969,거품이 부드렵고 전용잔에 먹는게 좋다,거품이 부드럽다,따라 먹는 잔이 따로 있다/전용컵이 있다,,183,162,
3970,황금빛 보리색깔이 구수하고 부드러운 식욕을 자극하면서 시원한 청량감도 느끼게 해주기 때문에,색상이 맛있어 보인다/병 색상이 맥주가 맛있을 것 같다,병 색상이 시원하다/병 색상이 상쾌하다,,288,283,
3971,약간 씁쓸하고 톡쏘는 맛이 좋다.,맛이 쌉싸름하다,톡 쏘는 맛이 있다,,113,104,
3972,시원하다,시원하다,,,2,,
3973,먼가 모르게 멋있어서요,멋스럽다,,,505,,
3974,김연아 광고이후로부터 좋아하게됏음,광고 모델이 좋다 ,,,303,,
3975,제일 많이 들어보고 친숙하네요,유명하다/인지도가 높다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,24,3,
3976,청량감이 다른 맥주들보다 세서,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,,103,,
3977,시원함.,시원하다,,,2,,
3978,보리향이 덜나고 덜 자극적이라서,보리 향이 은은하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,957,112,
3979,제일 맛있어요! 향도 과일향처럼 달콤~ 맛도 달콤~ 생맥주가 특히 맛나요^^,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,과일 향이 난다,향이 달콤하다,107,77,240
3980,맛이 시원하고 청량감이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,103,103,
3981,맛이 상쾌해서,맛이 산뜻하다/맛이 상큼하다,,,118,,
3982,똑싸는맛,톡 쏘는 맛이 있다,,,104,,
3983,맛이 깔끔하고 탄산때문에 타사제품보다 더 쳥량감이들어좋다,맛이 깔끔하다,탄산이 풍부하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,102,61,103
3984,맛이 있음.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3985,편해서,마시기 편하다,,,613,,
3986,카스 술을 좋아하기 때문에.,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
3987,그냥,모름,,,999,,
3988,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3989,맥주의 씁쓸한 맛이 좋고 목넘김이 부드럽다,맛이 쌉싸름하다,목 넘김이 부드럽다 ,,113,171,
3990,적당히 되직한 맛과 톡쏘는 탄산이 섞여 맛있게 마실 수 있다,걸죽해서 좋다,톡 쏘는 맛이 있다,탄산이 풍부하다,580,104,61
3991,시원하고 끝맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,뒷맛이 깔끔하다,,103,153,
3992,달고 맛있다고 생각한다,달콤하다/꿀맛이 난다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,108,107,
3993,맥주의 독특한 맛,맛이 독특하다/맛이 차별화됐다,,,117,,
3994,지인의 소개로 접하게 되었는데 생각보다 맛이 좋았습니다,주변에서 추천하는 맥주다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,179,107,
3995,청량감이 좋다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,,103,,
3996,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
3997,깊고 고소한 흑맥주의 맛이 좋아서,맛이 풍부하다/맛이 깊다,맛이 고소하다,흑맥주를 좋아한다,70,116,69
3998,맛이 부드러워서 향이 독특해서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,향이 독특하다,,112,202,
3999,카스레몬 맛을 좋아하기 때문에  ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4000,맥주하면 떠오르는 브랜드.  맥주병이 이쁨,맥주 하면 제일먼저 연상되는 브랜드다,디자인이 예쁘다,,378,253,
4001,끝맛이 깔끔하고 톡 쏘는 맛이있어 좋아한다,뒷맛이 깔끔하다,뒷맛이 톡 쏜다,,153,156,
4002,맛이 가장 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4003,국산맥주와는 다른맛이 나는거같아서,맛이 독특하다/맛이 차별화됐다,,,117,,
4004,시원하고 풍부한 맛,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 풍부하다/맛이 깊다,,103,70,
4005,깔끔하고 한눈에 들어온다,깔끔하다,눈에 잘 들어온다 ,,1,8,
4006,익숙한 맛때문에 즐겨먹는다.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
4007,홉이 많아서,홉의 함량이 높다,,,769,,
4008,제일 맛이 좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4009,맛이 색다르고 거품이 깊다,맛이 독특하다/맛이 차별화됐다,거품이 많다/거품이 풍부하다/거품 맛이 진하다,,117,67,
4010,부드럽다,부드럽다,,,14,,
4011,"예전, 기네스 병맥속에 볼이 들어있었던 시절, 볼을 흔들어 효모와함께 마셨던 맥주맛을 잊지못한다. 기네스 맥주는 참 맛있다.",흔들어서 마시면 효소 맛이 난다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,593,107,
4012,맛이 진한것같으면서도 깔끔하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,맛이 깔끔하다,,115,102,
4013,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4014,"맛이 진하며, 와이프와의 추억이 있는 맥주이므로",맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,여행에서 마신 기억/추억이 깃든 상표다,,115,617,
4015,알콜맛이 거의 없어서,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,,,84,,
4016,향이 좋고 목넘김이 부드러우며 초창기부터 마셔왔다.,향이 좋다,목 넘김이 부드럽다 ,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,204,171,3
4017,하이트보다 맛있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4018,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4019,개인적으로 호가든처럼 뒷맛이 오래 남는 맥주보다는 끝맛이 깔끔한 맥주를 좋아하기 때문에,뒷맛이 깔끔하다,,,153,,
4020,남자의 맥주라고나 할까,남성적이다,,,6,,
4021,톡쏘는맛이좋다,톡 쏘는 맛이 있다,,,104,,
4022,신선,신선하다,,,217,,
4023,축구와 연관 브랜드,브랜드 이미지가 유럽 축구를 연상시킨다,,,498,,
4024,"맛이 깔끔하고, 첫맛 뒷맛 다 좋아요",맛이 깔끔하다,뒷맛이 좋다,,102,151,
4025,유명하고 주변 사람들도 많이 마시는 편이다,유명하다/인지도가 높다,주변에서 추천하는 맥주다,,24,179,
4026,"집에서 먹는 횟수가 더 많은데, 싶게 구하고 특별히 나쁘지 않다.",집에서 마시기 좋다,구입이 용이하다,무난하다,791,21,23
4027,높지않은 도수,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,,,84,,
4028,진한맛때문에 좋아한다.,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
4029,맛있어요,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4030,맛있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4031,거품과 탄산의 자연스러운 조화  질리지 않는 끝맛,탄산과 거품이 조화롭다,뒷맛이 독특하다,,926,489,
4032,맛이 깔끔하여 즐겨 마심,맛이 깔끔하다,,,102,,
4033,쓴 맛이 약해서 좋다.  시원하게 마실 때 아주 상쾌함이 느껴진다.,쓴 맛이 덜 하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,119,103,
4034,국산 맥주 중에서 가장 구수하다,맛이 고소하다,,,116,,
4035,애국심,국산 브랜드이다,,,371,,
4036,맥주맛이 산뜻하고 목넘김이 부드럽다. 타 맥주에 비해 맥주 특유의 냄새가 적다. 또한 광고를 보면서 좋은 이미지가 생겼다.,맛이 산뜻하다/맛이 상큼하다,목 넘김이 부드럽다 ,향이 부드럽다/향이 순하다/향이 은은하다,118,171,211
4037,예전부터 마셔왔고 부드러워서 목넘김이 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,3,112,173
4038,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4039,"주로 마시던 맥주이고, 믿을만한 브랜드이기 때문",친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,신뢰가 간다,,3,25,
4040,"나온지도 오래되었고, 처음으로 마신게 카스라서 익숙해요",전통 있다,처음 마셔본 맥주이다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,366,631,3
4041,유명하니깐,유명하다/인지도가 높다,,,24,,
4042,시원해서,시원하다,,,2,,
4043,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4044,시원해서,시원하다,,,2,,
4045,미국꺼라서그런지,원산지인 미국의 느낌이 난다,,,635,,
4046,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4047,다양한 과일 맛이나는 맥주라서 맛잇음.,과일 맛이 난다,,,149,,
4048,맛이 고소하고 깔끔하고 맛있다.,맛이 고소하다,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,116,102,107
4049,깔끔함,깔끔하다,,,1,,
4050,다른 맥주와 비슷하나 광고의 느낌이 좋아서,광고가 좋다/광고 이미지가 좋다,,,301,,
4051,내 개인적인 입맛에 KGB가 가장 잘 맞는 거 같다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
4052,맛이 세계맥주와 가장 유사하다.  ,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
4053,엔젤링 광고를 통해 럭셔리한 느낌,엔젤링,광고가 고급스럽다,,581,805,
4054,찾기 쉽다,구입이 용이하다,,,21,,
4055,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
