no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
92,젊고 매력적이다,이미지가 젊다/젊은 층이 많이 마신다,끌린다,,504,885,
93,우선맥주맛이좋아서호감이가고 칼로리가 적다는 것을 어필하는 상표라서좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,칼로리가 적다/다이어트에 좋다,,107,46,
94,하이트 맥주를 즐겨마신다,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
95,기억하기가 쉽다,브랜드가 기억에 남는다/브랜드 명이 귀에 쏙 들어온다,,,369,,
96,일단 칼로리가 낮으면서 맛도 나쁘지 않음,칼로리가 적다/다이어트에 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,46,107,
97,순한 넘김,목 넘김이 부드럽다 ,,,171,,
98,맛있어서...,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
99,익숙하고 맛이 시원함.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,3,103,
100,친구들과 많이 먹어 친근함,주변 사람들과 함께 마시기 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,831,3,
101,호가든 맥주를 좋아하기때문에,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
102,부드러운 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
103,깔끔한 맛,맛이 깔끔하다,,,102,,
104,광고를 가장 많이 접하였고 일반적으로 술집에서 가장 쉽게 접할수 있습니다. 편하게 시켜서 마실수 있는 맥주로 자리 잡은거 같습니다.,광고를 많이 한다,구입이 용이하다,마시기 편하다,302,21,613
105,자주 찾는 맥주라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
106,"하이트에 대해서는 사실 큰 관심이 없었지만, 최근 김연아 선수가 광고를 하면서 하이트의 이미지가 좋아짐.",광고 모델이 좋다 ,,,303,,
107,흰색 배경에 노란색 별모양이 눈에 확들어옴,별 모양이 시선을 끈다,,,689,,
108,맥주가 맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
109,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
110,톡쏘는 맛이 깔끔하고 좋다.  그리고 광고모델도 좋아해서 선호한다.,톡 쏘는 맛이 있다,맛이 깔끔하다,광고 모델이 좋다 ,104,102,303
111,부드럽고 고급스런 이미지,부드럽다,고급스럽다,,14,15,
112,고소한 맛,맛이 고소하다,,,116,,
113,맛이 깨끗하다,맛이 깔끔하다,,,102,,
114,오래전부터 마셔왔던거고 주변에서 쉽게 접할수있다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,구입이 용이하다,,3,21,
115,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
116,다른 맥주보다 톡쏘는 느낌이 강하다,톡 쏘는 맛이 있다,,,104,,
117,깔끔한맛,맛이 깔끔하다,,,102,,
118,맛이 진하면서도 깔끔하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,맛이 깔끔하다,,115,102,
119,다른 맥주에 비해 목넘김이 부드럽다.아주 좋다,목 넘김이 부드럽다 ,,,171,,
120,카스의 톡 쏘는 맛이 좋아함. 그리고 상표도 참 무난해서 좋음,톡 쏘는 맛이 있다,상표가 무난하다,,104,959,
121,다른맥주에 비하여 맛이 더 좋다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
122,부드러운 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
123,산뜻하다,상큼하다/산뜻하다,,,29,,
124,마실때 부드럽고 목넘김이 좋으며 뒤끝이 없고 깔금하고 좋은거 같다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,숙취가 덜 하다/뒤끝이 깔끔하다,112,173,13
125,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
126,친근,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
127,외국 맥주치고는 저렴하다,가격이 저렴하다 ,,,11,,
128,부드러운 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
129,'디'라는 상표가 세련되어 보여서,브랜드 명이 세련됐다/상표가 세련되었다,,,95,,
130,시원한 목넘김과 탄산의 짜릿함이 정말 맥주구나 라는 느낌이 든다,목 넘김이 시원하다,탄산이 풍부하다,맛이 짜릿하다,175,61,543
131,아일랜드 기네스 공장 투어,공장을 견학했다,,,734,,
132,예전부터 자주 먹는 맥주이다.다른 맥주는 대체적으로 안먹음.  특히 소주랑 믹스해서 먹으면 아주 좋다.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,다른 주류와 섞어 마실 경우 맛이 좋다,,3,488,
133,개인적으로 KGB 맥주를 좋아하기때문에,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
134,맛이 가장 저에게 잘 맞습니다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
135,목넘김이 부드럽고 맥주 맛이 좋습니다.,목 넘김이 부드럽다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,171,107,
136,광고가 좋아서,광고가 좋다/광고 이미지가 좋다,,,301,,
137,부드럽고 맛있다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
138,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
139,보리맛이 좋아서.,보리 맛이 좋다,,,900,,
140,기존 맥주보다 칼로리가 낮을 것 같아서 주로이용한다,칼로리가 적다/다이어트에 좋다,,,46,,
141,입맛에 가장 잘맞아서 좋아합니다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
