KEY,doc,raw_doc_tu
141,입맛에 가장 잘맞아서 좋아합니다,입맛 좋아하
142,맛있다,맛있
143,깔끔한 맛과 고급스런 이미지때문에 하이네켄에 자주 손이 간다,깔끔 맛 고급 이미지 때문 하이네켄 손
144,흑맥주로 깔끔한 뒷맛,흑 맥주 깔끔 뒷맛
145_0,어디서든 구하기 쉽고,어디 구하
145_1,많이 접해본 상품이라 그런지 입맛에도 잘 맞는 것 같다,접하 상품 그렇 입맛 것
146,가장 친숙한 맛,친숙 맛
147_0,최초 광고,최초 광고
147_1,시작할 때부터 광고가 좋았고천연암반수 광고였던듯 또 최근에도 스포츠스타가 나온 광고라서 기억에 많이 남음 맥주간 맛은 거의 비슷하지만 광고,시작 때 광고 천연 암반수 광고 듯 최근 스포츠스타 나오 광고 기억 맥주 간 맛 비슷 광고
147_2,마케팅면에서 하이트에 끌리는 듯,마케팅 면 하이트 끌리 듯
148,예전부터 마셔왔던 브렌드이기 때문에,예전 마시 브렌 드 때문
149_0,칼로리 걱정이 덜하고,칼로리 걱정 덜하
149_1,부드럽다,부드럽
150_0,뒷맛이 깔끔하고,뒷맛 깔끔
150_1,개운하다,개운
151_0,가장 국민적이고,국민
151_1,대중인적인 맥주로 맛이 항상 내 입맛을 사로 잡는다,대중 인 맥주 맛 내 입맛 사
152,맛있음,맛있
153_0,맛이 급격히 좋아졌다,맛
153_1,기존에는 국산을 먹으면 MAX만 찾았는데 요즘은 오비골든라거만 찾게된다,기존 국산 요즘 오비 골든 라거
153_2,오비골든라거는 광고를 본적이 없다,오비 골든 라 것 광고 본적
153_3,광고하면 맥스가 생각나지만 역시 맥주는 맛이 생명이다,광고 맥스 생각나 맥주 맛 생명
154,맛있다,맛있
155,맛있다,맛있
156,맛있다,맛있
157_0,김연아의 광고가 활력이 넘치고,김연아 광고 활력 넘치
157_1,시원해보여서 입니다,시원
158_0,부드럽고,부드럽
158_1,목넘김이 타 맥주에 비해 나한테 잘 맞다,목 넘기 맥주 비하 나
159,광고효과와 시원함,광고 효과 시원
160_0,원빈이 광고를 하여 이미지의 호감도가 상승하였고,원빈 광고 이미지 호감 상승
160_1,시음시 깔끔한 느낌이 좋습니다,시음 깔끔 느낌
161,역사가 깊음,역사
162,마셨을때 목넘김이 제일 좋은 맥주,마시 때 목 넘기 제일 맥주
163,상표를 좋아해서 라기보단 카스 술 자체를 좋아 하는 것 입니다,상표 좋아하 라 카스 술 자체 것
164,톡쏘는맛이 좋음,맛
165,상큼해보임,상큼 보이
166,저칼로리 깔끔한맛,칼로리 깔끔 맛
167_0,알코올 맛이 덜하고,알코올 맛 덜하
167_1,음료수 같은 느낌이 있어서 마실때 잘 넘어가므로 개인적으로 제일 좋아함,음료수 느낌 마실 때 넘어가 개인 제일 좋아하
168_0,카스의 무겁고,카스 무겁
168_1,톡쏘는 맛을 아주 좋아한다,맛 좋아하
169_0,가장 대중적이고,대중
169_1,입맛에 맞다,입맛
170,맛이 부드럽다,맛 부드럽
171,맥주 하면 하이트만 먹어서,맥주 하이트
172,호가든벨기에 맥주를 먹어봤는데 오렌지향이 나면서 목넘김이 부드러웠음,호가든 벨기에 맥주 오렌지 향 목 넘기 부드럽
173,목넘김이 부드럽다,목 넘기 부드럽
174,맥주맛이 좋다,맥주 맛
175_0,일단 내입맛이 맞다,내 입맛
175_2,회사회식땐 모두 카스를 먹는다,회사 회식 때 카스
175_3,CF의 영향도 큰거같다,영향 거
176,카스가 그냥 맛이좋아요,카스 맛
178,옛날부터 계속 애용해오고있는 맥주이며 약간 씁슬한 맛이 좋으며 목 넘긴 맛이 좋아요,옛날 애용 맥주 맛 목 넘기 맛
179,먹어본 중에 제일 맛있습니다,중 제일 맛있
180,맥주 맛이 좋아서,맥주 맛
181_0,맛이 독특하고,맛 독특
181_1,맛있다,맛있
182,맛있다,맛있
183,무난하게 좋음,무난
184,제일 무난함,제일 무난
185_0,맛이 상쾌하고,맛 상쾌
185_1,시원하다,시원
186_0,탄산이 심하게 쏘지 않으면서도 목넘김이 좋고,탄산 심하 목 넘기
186_1,부드러운 반면 맛은 깊은 편이기때문에 좋다,부드럽 반면 맛 편 때문
187,톡 쏘는 맛이 있다,맛
188,맛이 독특해서,맛 독특
189,맛이 좋기 때문에,맛 때문
190_0,부드러운 거품과 뒷맛이 깔끔하고,부드럽 거품 뒷맛 깔끔
190_1,씁쓸한 맛이 일품이다,씁쓸 맛 일품
191,특별히 맛때문에 좋아하는것이 아니라 친숙해서 마시는 편이다,맛 때문 좋아하 것 친숙 마시 편
192_0,가격도 저렴하고,가격 저렴
192_1,맛있따,맛
193,광고노출이 많아서 가장 친근하다,광고 노출 친근
194_0,깔끔하고,깔끔
194_1,단맛이남,단맛 이남
195,맥주맛이 부드럽다,맥주 맛 부드럽
196,쌉싸름한 맛이 좋다,맛
197,맛이 부드러워서,맛 부드럽
198,맛이 있기 때문이지요,맛 때문
199_0,맛있고,맛있
199_1,가벼워서,가볍
200,맛,맛
201_0,요즘 cf가 재미있어서 먹어봤는데 가볍고,요즘 재미있 가볍
201_1,맛이 괜찮더라구요,맛 괜찮
202,보리맛이 강해서,보리 맛 강하
203,부드러운 맛 엔젤링,부드럽 맛 엔젤 링
204,이뻐서,이쁘
205,톡쏘는 맛탄산이 많은 것 같다,맛 탄산 것
206,맛있다,맛있
207_0,깔끔하고,깔끔
207_1,부드럽다,부드럽
207_3,하이트에 비해 병에서 비린내오줌냄새 비슷한가 안난다,하이트 비하 병 비린내 오줌 냄새 비슷
208_0,광고가 맛을 적절하게 표현을 잘했고,광고 맛 적절 표현
208_1,맛있다,맛있
209_0,맛이 깊고,맛
209_1,풍부하다,풍부
210,목넘김이 부드러움,목 넘기 부드럽
